epoch,steps,lr,loss,gradient_norm,seconds,val_accuracy,val_macro_f1,trial,phase,arm,outer_fold,inner_fold,seed,candidate
36,972,0.0126019810610979,0.4998297250729959,0.4998739435836605,58.77431337499911,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
37,999,0.0122486197879016,0.4993999136836739,0.444880225444846,60.41335373499896,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
38,1026,0.0118932841901725,0.4937308805441161,0.4753620341077934,61.97868715599907,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
39,1053,0.0115365361265283,0.4974390485337586,0.501926476987091,63.58975205199931,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
40,1080,0.0111789396889856,0.5011499378224679,0.5289701077329225,65.28932281999914,0.6431818181818182,0.6040398870553924,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
41,1107,0.0108210603110143,0.4940883398006887,0.5102865782096564,67.02807290599958,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
42,1134,0.0104634638734716,0.4985012659561708,0.517241227347693,68.54567842199867,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
43,1161,0.0101067158098274,0.4975088162913862,0.5247300713037233,70.14707027499935,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
44,1188,0.0097513802120983,0.4896203372604145,0.5006124915787269,71.78218530199956,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
45,1215,0.009398018938902,0.4886646633234063,0.5071237477389117,73.5066585099994,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
46,1242,0.0090471907270431,0.4927434644889006,0.5448642779795275,75.22073478600032,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
47,1269,0.0086994503080357,0.4898018283424242,0.5057210732840716,76.77774528599912,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
48,1296,0.0083553475309587,0.4868180106206624,0.5291242822426891,78.34938668900031,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
49,1323,0.0080154264930313,0.4907709982974528,0.5208367150235758,79.86156475299867,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
50,1350,0.0076802246792839,0.4871759850717782,0.5442831166748126,81.5828396249999,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
51,1377,0.007350272112683,0.4897091828084953,0.5170949788775685,83.13985019999927,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
52,1404,0.0070260905160567,0.4878866300042894,0.5308947899703409,84.71760221099976,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
53,1431,0.0067081924871434,0.4827731060543287,0.5123631083626146,86.37988975199914,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
54,1458,0.0063970806880692,0.4850094955460348,0.5926343838620464,87.99512811299974,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
55,1485,0.0060932470505359,0.4873669466854193,0.5271431672556943,89.63633300699985,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
56,1512,0.0057971719979763,0.48390586609222,0.5052853989084601,91.35186708800028,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
57,1539,0.0055093236859052,0.4829056401953208,0.5294224174266821,92.99311390000004,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
58,1566,0.00523015726167,0.4782916305131754,0.5259840756726727,94.69759104900004,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
59,1593,0.0049601141447686,0.4748184055073466,0.4983662164800248,96.38808763399902,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
60,1620,0.0046996213288751,0.4741256768467153,0.5696939218302599,98.0727880329996,0.6522727272727272,0.6113817795593929,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
61,1647,0.0044490907066745,0.4820096510351726,0.5135215219703364,99.80284710100022,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
62,1674,0.0042089184185759,0.480938664550247,0.5074461569764804,101.51282148300017,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
63,1701,0.003979484226333,0.4746387452437764,0.5223962208352477,103.15045366099912,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
64,1728,0.0037611509125631,0.4765540138373927,0.5414083132228639,104.71823525400032,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
65,1755,0.0035542637071124,0.4742411839332203,0.5194584363123247,106.3989207809991,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
66,1782,0.0033591497411777,0.4807132963345805,0.6000079868356956,108.03708643699974,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
67,1809,0.0031761175300437,0.477655415347167,0.5364493775552813,109.7671902309994,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
68,1836,0.0030054564852578,0.4720631330100333,0.5265980710575315,111.43493106700043,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
69,1863,0.0028474364570102,0.4733566029735416,0.5143266560160002,113.11478802799866,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
70,1890,0.0027023073074461,0.4752974443582529,0.5339724946714535,114.77560407099918,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
71,1917,0.0025702985155814,0.4726071137570064,0.5201253494656622,116.42259890899912,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
72,1944,0.0024516188144499,0.4758088105399874,0.5380794989594411,118.10687666400008,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
73,1971,0.0023464558610532,0.4725210104032001,0.5476170737611397,119.90236287999868,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
74,1998,0.0022549759396363,0.4744885574537187,0.5538808389837577,121.51823242899992,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
75,2025,0.0021773236987582,0.4727381921254844,0.5369812236028886,123.12733646999914,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
76,2052,0.0021136219225729,0.4721130991789731,0.5347592679324548,124.71188844300012,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
77,2079,0.0020639713366822,0.4712902657530222,0.5241995829026616,126.42762645899892,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
78,2106,0.0020284504488677,0.474179139220372,0.5507170006001242,128.0156797969994,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
79,2133,0.0020071154249542,0.4734636760694685,0.5443909311050272,129.6923469229987,,,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
80,2160,0.002,0.4732513496475665,0.5013859184557289,131.38551683100013,0.6431818181818182,0.6027851458885941,vmd_o0_i0_compact_once,inner,vmd,0,0.0,0,compact_once
1,27,0.02,1.0223720153675393,0.2381412849521669,1.82502960400052,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
2,54,0.0199928845750457,0.8123348670021173,0.2797969589954369,3.5872216940006183,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
3,81,0.0199715495511322,0.6848694979898782,0.2909159722714973,5.342638389000058,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
4,108,0.0199360286633177,0.6320400769857718,0.3273052038009553,7.224749340000926,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
5,135,0.019886378077427,0.6054253498806396,0.3308563149609839,9.030427046000112,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
6,162,0.0198226763012417,0.5813920554234677,0.3667040516657993,10.896535146001042,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
7,189,0.0197450240603636,0.5768164901707674,0.3526330992829347,12.772823904000688,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
8,216,0.0196535441389467,0.57017789926027,0.3795772452904903,14.467414639000708,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
9,243,0.01954838118555,0.5659486161400586,0.3880698868243628,16.413280137001493,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
10,270,0.0194297014844185,0.5609030021208076,0.4169967842829989,18.27588279000156,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
11,297,0.0192976926925538,0.5592635718292566,0.3968049560997343,20.15576283000155,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
12,324,0.0191525635429897,0.5514555093935026,0.4439372732243383,22.041491060001132,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
13,351,0.0189945435147421,0.5461008175528275,0.3745890096587889,23.91126950600119,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
14,378,0.0188238824699562,0.5345493481363977,0.4070855600250066,25.6150495030015,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
15,405,0.0186408502588222,0.5386523723736979,0.4417582531290809,27.501262339001187,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
16,432,0.0184457362928875,0.5347750219735459,0.4267765127018296,29.24438911100151,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
17,459,0.0182388490874368,0.5297269413289339,0.4386766436055583,31.15261041200029,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
18,486,0.0180205157736669,0.5266444362543377,0.4469849926851186,32.96608490500148,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
19,513,0.017791081581424,0.5270473793810788,0.4385675004634951,34.82273961300052,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
20,540,0.0175509092933254,0.5149287778919969,0.4102798801040958,36.66775239200069,0.5613636363636364,0.5337433343355115,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
21,567,0.0173003786711248,0.5166121621944085,0.4494684545112395,38.56657993299996,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
22,594,0.0170398858552313,0.5131243457889682,0.4656417046430173,40.45817879900096,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
23,621,0.0167698427383299,0.5104469779868244,0.4567861259581864,42.27154482000151,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
24,648,0.0164906763140947,0.5117936199208576,0.4742679681386441,44.13997877800102,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
25,675,0.0162028280020236,0.5104276157490651,0.4801152559116274,45.83289751400116,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
26,702,0.015906752949464,0.4995746296506951,0.4527181915178478,47.83699802000047,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
27,729,0.0156029193119308,0.499845154253857,0.4474035630466606,49.64608340600171,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
28,756,0.0152918075128565,0.5061370240946859,0.4716477156288367,51.57959883700096,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
29,783,0.0149739094839432,0.4956445840566357,0.4793373563262516,53.372355423000045,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
30,810,0.0146497278873169,0.4967383193288806,0.4681406083652427,55.18190122500164,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
31,837,0.014319775320716,0.4960181590834389,0.5074895850692595,57.21023833800064,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
32,864,0.0139845735069686,0.4956927069004581,0.4924878638084689,59.04674239400083,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
33,891,0.0136446524690412,0.4893317381660561,0.4784933958302818,60.90670430099999,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
34,918,0.0133005496919642,0.4934302702043376,0.4536107096538838,62.717331687001206,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
35,945,0.0129528092729568,0.48891683315016,0.4920019721463995,64.57966085000044,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
36,972,0.0126019810610979,0.4869143600178434,0.4621572546834247,66.27648199900068,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
37,999,0.0122486197879016,0.4922316597790823,0.4761210792242302,68.12556883800062,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
38,1026,0.0118932841901725,0.4824907256875519,0.4678376658369964,69.91682978200151,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
39,1053,0.0115365361265283,0.4838579294329895,0.4637159355201365,71.7673620100013,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
40,1080,0.0111789396889856,0.4861867078349821,0.4693857220961411,73.52387597300003,0.5636363636363636,0.5281639365080594,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
41,1107,0.0108210603110143,0.4813015270455578,0.5051140890380084,75.51079938700059,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
42,1134,0.0104634638734716,0.4802920242273059,0.526084020271024,77.31476453800133,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
43,1161,0.0101067158098274,0.4822345007928418,0.4784625659671094,79.21945644600055,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
44,1188,0.0097513802120983,0.4782840913569576,0.5299303555365389,81.15213836000112,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
45,1215,0.009398018938902,0.4719611265402096,0.4893505715237968,82.91093452700079,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
46,1242,0.0090471907270431,0.4761506052199836,0.4985141420889395,84.71733979200144,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
47,1269,0.0086994503080357,0.4710230864445815,0.4804551149717945,86.51589989700005,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
48,1296,0.0083553475309587,0.4693004587446981,0.5266255708935083,88.31780279500163,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
49,1323,0.0080154264930313,0.4762452401847619,0.4932365644302053,90.0577000000012,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
50,1350,0.0076802246792839,0.4701433120842395,0.4905749981407188,91.98202367700104,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
51,1377,0.007350272112683,0.4678483487416032,0.4627152752381768,93.8173511290006,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
52,1404,0.0070260905160567,0.4681401720856449,0.507612013197537,95.80115003800164,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
53,1431,0.0067081924871434,0.4655018867836021,0.5062680477084714,97.6878154820006,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
54,1458,0.0063970806880692,0.4707389586326587,0.5513435094489622,99.55815830100072,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
55,1485,0.0060932470505359,0.4675755403483721,0.4735495362679361,101.4552762050007,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
56,1512,0.0057971719979763,0.4690055469793677,0.4862213806305284,103.26886120700146,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
57,1539,0.0055093236859052,0.4666734073674756,0.5138078494248497,105.1354176140012,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
58,1566,0.00523015726167,0.4629719948436889,0.5010858838423041,106.97276646300088,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
59,1593,0.0049601141447686,0.457807907924453,0.4892744472955003,108.91498956100077,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
60,1620,0.0046996213288751,0.4601293161987977,0.5273163066777202,110.67437602300016,0.5545454545454546,0.5144751383143057,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
61,1647,0.0044490907066745,0.4620332068486859,0.5170884255099929,112.69035465300112,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
62,1674,0.0042089184185759,0.46479843796405,0.5215077441370201,114.46639425000104,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
63,1701,0.003979484226333,0.4603427624903587,0.4882019073469444,116.27631502500115,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
64,1728,0.0037611509125631,0.4618302896113181,0.525045732064593,118.04872175500168,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
65,1755,0.0035542637071124,0.4578954377783213,0.4949758961322626,119.96761599000092,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
66,1782,0.0033591497411777,0.4649017213338216,0.5375583186923504,121.74222758200084,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
67,1809,0.0031761175300437,0.4592073329843557,0.5173544449627036,123.62932606100004,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
68,1836,0.0030054564852578,0.4528599888030372,0.5007996095697355,125.50777652500074,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
69,1863,0.0028474364570102,0.4561816107965707,0.4783855566917675,127.34877402200073,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
70,1890,0.0027023073074461,0.4589263660235042,0.5043963056441537,129.19651336800052,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
71,1917,0.0025702985155814,0.4538321894681266,0.5118168389570918,131.0711321760009,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
72,1944,0.0024516188144499,0.4584282493516844,0.4893638160816036,132.9356132440007,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
73,1971,0.0023464558610532,0.4559650938951189,0.5094149308917666,134.74698598600116,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
74,1998,0.0022549759396363,0.4586533084679057,0.5102517819046253,136.66287652700157,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
75,2025,0.0021773236987582,0.4544190037784139,0.5289524957609971,138.45031519300028,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
76,2052,0.0021136219225729,0.4549355337841212,0.518433401474005,140.32658864600126,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
77,2079,0.0020639713366822,0.4534427936159076,0.5067885732499448,142.04930944900116,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
78,2106,0.0020284504488677,0.4564394025766297,0.5370582734115988,143.87571426100112,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
79,2133,0.0020071154249542,0.4562045784092056,0.5189842584950204,145.662876462,,,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
80,2160,0.002,0.4581840723827655,0.5275884855465967,147.46008856800108,0.5454545454545454,0.5044344502718604,vmd_o0_i0_reupload_2,inner,vmd,0,0.0,0,reupload_2
1,27,0.02,1.0227875303587632,0.2167649053360353,2.3739035750004405,,,vmd_o0_i0_reupload_3,inner,vmd,0,0.0,0,reupload_3
2,54,0.0199928845750457,0.8748653973826351,0.2792439322257962,4.822630820000995,,,vmd_o0_i0_reupload_3,inner,vmd,0,0.0,0,reupload_3
3,81,0.0199715495511322,0.7833888202886927,0.2998169770782323,7.289604297000551,,,vmd_o0_i0_reupload_3,inner,vmd,0,0.0,0,reupload_3
4,108,0.0199360286633177,0.7159002695829317,0.3782289068295555,9.605031908000456,,,vmd_o0_i0_reupload_3,inner,vmd,0,0.0,0,reupload_3
5,135,0.019886378077427,0.6719210110641929,0.3661667880952575,12.028030093999403,,,vmd_o0_i0_reupload_3,inner,vmd,0,0.0,0,reupload_3
6,162,0.0198226763012417,0.6450951775254764,0.4237191492132222,14.541462389001026,,,vmd_o0_i0_reupload_3,inner,vmd,0,0.0,0,reupload_3
7,189,0.0197450240603636,0.6124954081253423,0.4208392019471216,16.879176582000582,,,vmd_o0_i0_reupload_3,inner,vmd,0,0.0,0,reupload_3
8,216,0.0196535441389467,0.5980476786306208,0.45993314008481,19.40048728399961,,,vmd_o0_i0_reupload_3,inner,vmd,0,0.0,0,reupload_3
9,243,0.01954838118555,0.5902566521658591,0.529184016182846,21.928966822999428,,,vmd_o0_i0_reupload_3,inner,vmd,0,0.0,0,reupload_3
10,270,0.0194297014844185,0.581203983740345,0.5216144043666612,24.214445237999826,,,vmd_o0_i0_reupload_3,inner,vmd,0,0.0,0,reupload_3
11,297,0.0192976926925538,0.5654747893903909,0.4986106582951113,26.63718448200052,,,vmd_o0_i0_reupload_3,inner,vmd,0,0.0,0,reupload_3
12,324,0.0191525635429897,0.5546393597422387,0.5120881918652394,29.08329386100013,,,vmd_o0_i0_reupload_3,inner,vmd,0,0.0,0,reupload_3
13,351,0.0189945435147421,0.5519496906827579,0.5784971608796894,31.372507461999703,,,vmd_o0_i0_reupload_3,inner,vmd,0,0.0,0,reupload_3
14,378,0.0188238824699562,0.5342493595227211,0.554585121660037,33.90337116699993,,,vmd_o0_i0_reupload_3,inner,vmd,0,0.0,0,reupload_3
15,405,0.0186408502588222,0.5341053279870113,0.5971451087634172,36.29053286800081,,,vmd_o0_i0_reupload_3,inner,vmd,0,0.0,0,reupload_3
16,432,0.0184457362928875,0.5257207586757892,0.5700051389431975,38.61644845599949,,,vmd_o0_i0_reupload_3,inner,vmd,0,0.0,0,reupload_3
17,459,0.0182388490874368,0.5275455862226641,0.6029382215020449,41.021356164999816,,,vmd_o0_i0_reupload_3,inner,vmd,0,0.0,0,reupload_3
