model,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_sensitivity,macro_specificity,sens_ARR,spec_ARR,prec_ARR,f1_ARR,support_ARR,sens_CHF,spec_CHF,prec_CHF,f1_CHF,support_CHF,sens_NSR,spec_NSR,prec_NSR,f1_NSR,support_NSR,cm,patient_accuracy,patient_balanced_accuracy,patient_macro_f1,patient_macro_sensitivity,patient_macro_specificity,patient_cm,n_windows,arm,seed
vmd_seed0,0.6574074074074074,0.677037037037037,0.6343645249037303,0.6663994762247732,0.677037037037037,0.8267676767676768,0.625,0.8166666666666667,0.8321775312066574,0.7138607971445567,960,0.6866666666666666,0.8303030303030303,0.4790697674418605,0.5643835616438355,300,0.7194444444444444,0.8333333333333334,0.5522388059701493,0.6248492159227985,360,"600,182,178;62,206,32;59,42,259",0.775,0.8003940110323088,0.7593992248062015,0.8003940110323088,0.8858159761385568,"34,6,7;3,11,1;1,0,17",1620,vmd,0
vmd_seed1,0.7092592592592593,0.723125,0.684121427507395,0.716818350558854,0.723125,0.8538961038961039,0.684375,0.8515151515151516,0.8701986754966887,0.7661807580174926,960,0.71,0.8696969696969697,0.5532467532467532,0.6218978102189782,300,0.775,0.8404761904761905,0.58125,0.6642857142857143,360,"657,137,166;52,213,35;46,35,279",0.7875,0.7960598896769109,0.7663894627187174,0.7960598896769109,0.8909441812667619,"36,5,6;2,11,2;2,0,16",1620,vmd,1
vmd_seed2,0.671604938271605,0.6879166666666667,0.6470658583626453,0.6803002399898874,0.6879166666666667,0.8338864838864839,0.64375,0.8242424242424242,0.8419618528610354,0.7296340023612752,960,0.6866666666666666,0.8409090909090909,0.4951923076923077,0.5754189944134077,300,0.7333333333333333,0.8365079365079365,0.5617021276595745,0.636144578313253,360,"618,176,166;54,206,40;62,34,264",0.7625,0.8084318360914106,0.7558881215697263,0.8084318360914106,0.8806877710103517,"32,7,8;3,12,0;1,0,17",1620,vmd,2
wst_seed0,0.6475308641975308,0.6521296296296296,0.6174770256335208,0.653461025772057,0.6521296296296296,0.8139971139971139,0.6291666666666667,0.7651515151515151,0.7957839262187089,0.7027341477603258,960,0.5466666666666666,0.853030303030303,0.4581005586592179,0.4984802431610942,300,0.7805555555555556,0.8238095238095238,0.558648111332008,0.6512166859791425,360,"604,174,182;96,164,40;59,20,281",0.75,0.7559495665878645,0.72692286546814,0.7559495665878645,0.869594205078076,"34,3,10;4,9,2;1,0,17",1620,wst,0
wst_seed1,0.6290123456790123,0.6330787037037037,0.5994106636635679,0.6358096404657616,0.6330787037037037,0.803042328042328,0.6114583333333333,0.7439393939393939,0.7764550264550265,0.6841491841491842,960,0.5266666666666666,0.831060606060606,0.4146981627296588,0.4640234948604992,300,0.7611111111111111,0.8341269841269842,0.567287784679089,0.6500593119810201,360,"587,197,176;109,158,33;60,26,274",0.775,0.7664302600472813,0.7414577931431864,0.7664302600472813,0.8756222272351305,"36,3,8;6,8,1;0,0,18",1620,wst,1
wst_seed2,0.6148148148148148,0.6235416666666667,0.5863708114849003,0.6231747271147201,0.6235416666666667,0.7995670995670995,0.590625,0.759090909090909,0.78099173553719,0.6725978647686832,960,0.53,0.8181818181818182,0.39849624060150374,0.45493562231759654,300,0.75,0.8214285714285714,0.5454545454545454,0.631578947368421,360,"567,205,188;104,159,37;55,35,270",0.75,0.7408195429472025,0.7172789064174833,0.7408195429472025,0.8603930120059152,"35,4,8;6,8,1;1,0,17",1620,wst,2
