phase,arm,outer_fold,inner_fold,candidate,seed,started,status,finished,seconds,train_n,val_n,parameters,steps,checkpoints,artifact,choice,test_n
inner,wst,2,1.0,reupload_3,0,2026-09-22T04:01:19.532757+00:00,complete,2026-09-22T04:04:19.387819+00:00,194.71430452700042,860,440.0,129,2160,"{'20': {'accuracy': 0.634090909090909, 'macro_f1': 0.572275801761794}, '40': {'accuracy': 0.6204545454545455, 'macro_f1': 0.5611918684207841}, '60': {'accuracy': 0.6136363636363636, 'macro_f1': 0.5515179899007935}, '80': {'accuracy': 0.6113636363636363, 'macro_f1': 0.5486067817494106}}",inner/wst_o2_i1_reupload_3.json,,
inner,wst,2,2.0,compact_once,0,2026-09-22T04:01:30.866710+00:00,complete,2026-09-22T04:03:35.000468+00:00,136.5146396579985,860,440.0,111,2160,"{'20': {'accuracy': 0.6181818181818182, 'macro_f1': 0.521074544547708}, '40': {'accuracy': 0.6204545454545455, 'macro_f1': 0.5128957101194258}, '60': {'accuracy': 0.6181818181818182, 'macro_f1': 0.5120293365420175}, '80': {'accuracy': 0.6090909090909091, 'macro_f1': 0.5051200355737561}}",inner/wst_o2_i2_compact_once.json,,
inner,wst,2,2.0,reupload_2,0,2026-09-22T04:02:20.329630+00:00,complete,2026-09-22T04:04:37.448701+00:00,149.49611631100015,860,440.0,111,2160,"{'20': {'accuracy': 0.6522727272727272, 'macro_f1': 0.540011229515745}, '40': {'accuracy': 0.634090909090909, 'macro_f1': 0.5272801564369729}, '60': {'accuracy': 0.6386363636363637, 'macro_f1': 0.5262605152887284}, '80': {'accuracy': 0.6477272727272727, 'macro_f1': 0.5335819291964601}}",inner/wst_o2_i2_reupload_2.json,,
inner,wst,2,2.0,reupload_3,0,2026-09-22T04:02:39.900540+00:00,complete,2026-09-22T04:05:40.726536+00:00,195.68406864299868,860,440.0,129,2160,"{'20': {'accuracy': 0.6045454545454545, 'macro_f1': 0.5068181818181818}, '40': {'accuracy': 0.625, 'macro_f1': 0.5064958603058854}, '60': {'accuracy': 0.634090909090909, 'macro_f1': 0.5239348370927318}, '80': {'accuracy': 0.6272727272727273, 'macro_f1': 0.5201556737625422}}",inner/wst_o2_i2_reupload_3.json,,
inner,wst,3,0.0,compact_once,0,2026-09-22T04:03:01.209781+00:00,complete,2026-09-22T04:05:06.263986+00:00,137.43417237599897,860,440.0,111,2160,"{'20': {'accuracy': 0.6886363636363636, 'macro_f1': 0.6878302380441044}, '40': {'accuracy': 0.6886363636363636, 'macro_f1': 0.6869186716485132}, '60': {'accuracy': 0.6886363636363636, 'macro_f1': 0.6857773929527285}, '80': {'accuracy': 0.6977272727272728, 'macro_f1': 0.693610927578494}}",inner/wst_o3_i0_compact_once.json,,
inner,wst,3,0.0,reupload_2,0,2026-09-22T04:03:35.012912+00:00,complete,2026-09-22T04:05:53.543813+00:00,148.43264363900016,860,440.0,111,2160,"{'20': {'accuracy': 0.6522727272727272, 'macro_f1': 0.6476560476560476}, '40': {'accuracy': 0.6818181818181818, 'macro_f1': 0.6745003883747973}, '60': {'accuracy': 0.6795454545454546, 'macro_f1': 0.6722594659352964}, '80': {'accuracy': 0.6795454545454546, 'macro_f1': 0.6721919729387351}}",inner/wst_o3_i0_reupload_2.json,,
inner,wst,3,0.0,reupload_3,0,2026-09-22T04:04:19.399121+00:00,complete,2026-09-22T04:07:17.338119+00:00,192.79692445900037,860,440.0,129,2160,"{'20': {'accuracy': 0.675, 'macro_f1': 0.6674094940857213}, '40': {'accuracy': 0.6545454545454545, 'macro_f1': 0.6449314574314574}, '60': {'accuracy': 0.6568181818181819, 'macro_f1': 0.6488550588354892}, '80': {'accuracy': 0.6636363636363637, 'macro_f1': 0.6533688068340235}}",inner/wst_o3_i0_reupload_3.json,,
inner,wst,3,1.0,compact_once,0,2026-09-22T04:04:37.460703+00:00,complete,2026-09-22T04:06:43.190049+00:00,135.63121661500008,880,420.0,111,2240,"{'20': {'accuracy': 0.6857142857142857, 'macro_f1': 0.6284415108177485}, '40': {'accuracy': 0.6904761904761905, 'macro_f1': 0.6332384608839345}, '60': {'accuracy': 0.6857142857142857, 'macro_f1': 0.62341434704231}, '80': {'accuracy': 0.6833333333333333, 'macro_f1': 0.6221045893474836}}",inner/wst_o3_i1_compact_once.json,,
inner,wst,3,1.0,reupload_2,0,2026-09-22T04:05:06.277717+00:00,complete,2026-09-22T04:07:27.980989+00:00,151.60386774499966,880,420.0,111,2240,"{'20': {'accuracy': 0.6952380952380952, 'macro_f1': 0.6258062137764785}, '40': {'accuracy': 0.6880952380952381, 'macro_f1': 0.6284237611686009}, '60': {'accuracy': 0.6761904761904762, 'macro_f1': 0.6126635743650595}, '80': {'accuracy': 0.6666666666666666, 'macro_f1': 0.5989915593649302}}",inner/wst_o3_i1_reupload_2.json,,
inner,wst,3,1.0,reupload_3,0,2026-09-22T04:05:40.739417+00:00,complete,2026-09-22T04:08:38.812479+00:00,192.93008320900117,880,420.0,129,2240,"{'20': {'accuracy': 0.6785714285714286, 'macro_f1': 0.6013098619655997}, '40': {'accuracy': 0.6738095238095239, 'macro_f1': 0.6025444991890634}, '60': {'accuracy': 0.6833333333333333, 'macro_f1': 0.6139378553718703}, '80': {'accuracy': 0.6857142857142857, 'macro_f1': 0.6155873898560068}}",inner/wst_o3_i1_reupload_3.json,,
inner,wst,3,2.0,compact_once,0,2026-09-22T04:05:53.555751+00:00,complete,2026-09-22T04:07:57.339214+00:00,133.6857042419997,860,440.0,111,2160,"{'20': {'accuracy': 0.6704545454545454, 'macro_f1': 0.6490551869942407}, '40': {'accuracy': 0.675, 'macro_f1': 0.6420881544495507}, '60': {'accuracy': 0.6681818181818182, 'macro_f1': 0.6351080065164352}, '80': {'accuracy': 0.6613636363636364, 'macro_f1': 0.6258459203828797}}",inner/wst_o3_i2_compact_once.json,,
inner,wst,3,2.0,reupload_2,0,2026-09-22T04:06:43.200964+00:00,complete,2026-09-22T04:08:57.300698+00:00,146.48178193700005,860,440.0,111,2160,"{'20': {'accuracy': 0.6590909090909091, 'macro_f1': 0.6294893858687419}, '40': {'accuracy': 0.6659090909090909, 'macro_f1': 0.645025926132326}, '60': {'accuracy': 0.6681818181818182, 'macro_f1': 0.6488096746607949}, '80': {'accuracy': 0.6772727272727272, 'macro_f1': 0.6593995666924878}}",inner/wst_o3_i2_reupload_2.json,,
inner,wst,3,2.0,reupload_3,0,2026-09-22T04:07:17.349820+00:00,complete,2026-09-22T04:10:15.356268+00:00,192.86329993399886,860,440.0,129,2160,"{'20': {'accuracy': 0.6227272727272727, 'macro_f1': 0.5750112790157186}, '40': {'accuracy': 0.6, 'macro_f1': 0.54407686305478}, '60': {'accuracy': 0.5909090909090909, 'macro_f1': 0.5285292467675466}, '80': {'accuracy': 0.6, 'macro_f1': 0.536837237294679}}",inner/wst_o3_i2_reupload_3.json,,
inner,wst,4,0.0,compact_once,0,2026-09-22T04:07:27.992657+00:00,complete,2026-09-22T04:09:32.734390+00:00,137.1211821479992,880,420.0,111,2240,"{'20': {'accuracy': 0.638095238095238, 'macro_f1': 0.6017592980669922}, '40': {'accuracy': 0.6428571428571429, 'macro_f1': 0.6114069913818146}, '60': {'accuracy': 0.6452380952380953, 'macro_f1': 0.6127486696059209}, '80': {'accuracy': 0.6476190476190476, 'macro_f1': 0.6153907972221294}}",inner/wst_o4_i0_compact_once.json,,
inner,wst,4,0.0,reupload_2,0,2026-09-22T04:07:57.351907+00:00,complete,2026-09-22T04:10:17.806978+00:00,152.83341297199877,880,420.0,111,2240,"{'20': {'accuracy': 0.669047619047619, 'macro_f1': 0.6330079517182595}, '40': {'accuracy': 0.6761904761904762, 'macro_f1': 0.6405291005291005}, '60': {'accuracy': 0.6738095238095239, 'macro_f1': 0.6332112332112332}, '80': {'accuracy': 0.6714285714285714, 'macro_f1': 0.6274628895645402}}",inner/wst_o4_i0_reupload_2.json,,
