model,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_sensitivity,macro_specificity,sens_ARR,spec_ARR,prec_ARR,f1_ARR,support_ARR,sens_CHF,spec_CHF,prec_CHF,f1_CHF,support_CHF,sens_NSR,spec_NSR,prec_NSR,f1_NSR,support_NSR,cm,record_accuracy,record_balanced_accuracy,record_macro_f1,record_macro_sensitivity,record_macro_specificity,record_cm,n_windows,dim,selection,distinct_paths_per_fold,distinct_paths_mean
RF | VMD modes + rhythm | all,0.8197530864197531,0.7733796296296296,0.7892458621267356,0.8175623436079891,0.7733796296296296,0.8826479076479078,0.8895833333333333,0.7439393939393939,0.8347996089931574,0.8613212304589006,960,0.6833333333333333,0.9659090909090909,0.82,0.7454545454545455,300,0.7472222222222222,0.9380952380952381,0.7752161383285303,0.760961810466761,360,"854,35,71;88,205,7;81,10,269",0.8518518518518519,0.7958333333333334,0.8244233282122218,0.7958333333333334,0.8958633958633958,"90,1,5;9,21,0;8,1,27",1620,236,all,,
RF | VMD modes + rhythm | mRMR-12,0.758641975308642,0.6987500000000001,0.7130065153199808,0.7548705297398804,0.6987500000000001,0.8454665704665705,0.8479166666666667,0.6727272727272727,0.7902912621359224,0.8180904522613066,960,0.5733333333333334,0.9462121212121212,0.7078189300411523,0.6335174953959485,300,0.675,0.9174603174603174,0.7002881844380403,0.6874115983026875,360,"814,59,87;111,172,17;105,12,243",0.8209876543209876,0.7497685185185184,0.7796269727403157,0.7497685185185184,0.8755411255411255,"89,2,5;11,18,1;9,1,26",1620,236,12,,
RF | WST log | all,0.7820987654320988,0.7024305555555556,0.7337899043814824,0.7741435929916611,0.7024305555555556,0.8477272727272727,0.8989583333333333,0.6272727272727273,0.7781785392245266,0.8342194296761721,960,0.5166666666666667,0.9825757575757575,0.8707865168539326,0.6485355648535565,300,0.6916666666666667,0.9333333333333333,0.7477477477477478,0.7186147186147185,360,"863,19,78;139,155,6;107,4,249",0.8209876543209876,0.7479166666666667,0.7849120694634109,0.7479166666666667,0.8703703703703702,"89,0,7;13,17,0;9,0,27",1620,882,all,,
RF | WST log | mRMR-12,0.7098765432098766,0.6351851851851852,0.6482558735314404,0.7024322693461635,0.6351851851851852,0.8129148629148629,0.8166666666666667,0.5984848484848485,0.7473784556720686,0.7804878048780487,960,0.43333333333333335,0.9378787878787879,0.6132075471698113,0.5078125,300,0.6555555555555556,0.9023809523809524,0.6573816155988857,0.6564673157162726,360,"784,74,102;149,130,21;116,8,236",0.7592592592592593,0.669212962962963,0.6940327587445889,0.669212962962963,0.8344155844155844,"85,1,10;16,12,2;10,0,26",1620,882,12,7;6;6;9;6,6.8
"RF | WST log, bin-mean | all",0.7709876543209877,0.6883101851851853,0.7192739816688829,0.762354186884243,0.6883101851851853,0.8405844155844155,0.8927083333333333,0.6121212121212121,0.7699910152740341,0.8268210323203088,960,0.5,0.9810606060606061,0.8571428571428571,0.631578947368421,300,0.6722222222222223,0.9285714285714286,0.7289156626506024,0.6994219653179191,360,"857,19,84;144,150,6;112,6,242",0.8024691358024691,0.724074074074074,0.7615543876413442,0.724074074074074,0.8576238576238575,"88,0,8;14,16,0;10,0,26",1620,126,all,,
"RF | WST log, bin-mean | mRMR-12",0.7179012345679012,0.6374305555555555,0.6543176427169664,0.7083117134687023,0.6374305555555555,0.8133237133237133,0.8322916666666667,0.5803030303030303,0.7425650557620818,0.7848722986247545,960,0.41333333333333333,0.946969696969697,0.6391752577319587,0.5020242914979757,300,0.6666666666666666,0.9126984126984127,0.6857142857142857,0.676056338028169,360,"799,64,97;163,124,13;114,6,240",0.7530864197530864,0.6523148148148148,0.6803598326799033,0.6523148148148148,0.8246753246753246,"86,2,8;18,11,1;11,0,25",1620,126,12,12;12;12;12;12,12.0
RF | WST linear | all,0.7796296296296297,0.6975694444444445,0.7303248613616059,0.7713084063683534,0.6975694444444445,0.8450096200096201,0.9010416666666666,0.6166666666666667,0.7737030411449016,0.8325312800769972,960,0.5166666666666667,0.9810606060606061,0.8611111111111112,0.6458333333333335,300,0.675,0.9373015873015873,0.7546583850931677,0.7126099706744867,360,"865,20,75;141,155,4;112,5,243",0.8148148148148148,0.7444444444444445,0.7780436122669133,0.7444444444444445,0.867845117845118,"88,1,7;13,17,0;9,0,27",1620,882,all,,
RF | WST linear | mRMR-12,0.7296296296296296,0.6499768518518518,0.6669328184663793,0.7206497640646897,0.6499768518518518,0.8215728715728717,0.8427083333333333,0.6,0.7539608574091333,0.7958681751106739,960,0.4266666666666667,0.9409090909090909,0.6213592233009708,0.5059288537549407,300,0.6805555555555556,0.9238095238095239,0.718475073313783,0.6990014265335236,360,"809,65,86;162,128,10;102,13,245",0.7777777777777778,0.6796296296296296,0.7117066334965596,0.6796296296296296,0.8399470899470899,"88,1,7;17,12,1;10,0,26",1620,882,12,,
